2016-06-17_05:37:15 1466134635 0x5; 78 rTX 0
2016-06-17_05:37:15 1466134635 0x5; 78 rTX 1
2016-06-17_05:37:15 1466134635 0x5; 78 rTX 2
2016-06-17_05:37:16 1466134636 0x5; 78 rTX 3
2016-06-17_05:37:16 1466134636 0x5; 78 rTX 4
2016-06-17_05:37:16 1466134636 0x5; 78 rTX 5
2016-06-17_05:37:16 1466134636 0x5; 78 rTX 6
2016-06-17_05:37:17 1466134637 0x5; 78 rTX 7
2016-06-17_05:37:19 1466134639 0x5; 78 rTX 8
2016-06-17_05:37:22 1466134642 0x5; 78 rTX 9
2016-06-17_05:37:28 1466134648 0x5; 78 rTX 10
2016-06-17_05:37:40 1466134660 0x5; 78 rTXERR
2016-06-17_05:39:12 1466134752 0x2; 79 rTX 0
2016-06-17_05:39:12 1466134752 0x2; 79 rTX 1
2016-06-17_05:39:16 1466134756 0x5; 79 rTX 0
2016-06-17_05:39:16 1466134756 0x5; 79 rTX 1
2016-06-17_05:39:16 1466134756 0x5; 79 rTX 2
2016-06-17_05:39:16 1466134756 0x5; 79 rTX 3
2016-06-17_05:39:16 1466134756 0x5; 79 rTX 4
2016-06-17_05:39:16 1466134756 0x5; 79 rTX 5
2016-06-17_05:39:16 1466134756 0x5; 79 rTX 6
2016-06-17_05:39:17 1466134757 0x5; 79 rTX 7
2016-06-17_05:39:19 1466134759 0x5; 79 rTX 8
2016-06-17_05:39:21 1466134761 0x5; 79 rTX 9
2016-06-17_05:39:29 1466134769 0x5; 79 rTX 10
2016-06-17_05:39:38 1466134778 0x5; 79 rTXERR
2016-06-17_05:41:12 1466134872 0x2; 80 rTX 0
2016-06-17_05:41:16 1466134876 0x5; 80 rTX 0
2016-06-17_05:41:16 1466134876 0x5; 80 rTX 1
2016-06-17_05:41:16 1466134876 0x5; 80 rTX 2
2016-06-17_05:41:16 1466134876 0x5; 80 rTX 3
2016-06-17_05:41:16 1466134876 0x5; 80 rTX 4
2016-06-17_05:41:16 1466134876 0x5; 80 rTX 5
2016-06-17_05:41:16 1466134876 0x5; 80 rTX 6
2016-06-17_05:41:17 1466134877 0x5; 80 rTX 7
2016-06-17_05:41:19 1466134879 0x5; 80 rTX 8
2016-06-17_05:41:23 1466134883 0x5; 80 rTX 9
2016-06-17_05:41:28 1466134888 0x5; 80 rTX 10
2016-06-17_05:41:43 1466134903 0x5; 80 rTXERR
2016-06-17_05:43:15 1466134995 0x5; 81 rTX 0
2016-06-17_05:43:15 1466134995 0x5; 81 rTX 1
2016-06-17_05:43:16 1466134996 0x5; 81 rTX 2
2016-06-17_05:43:16 1466134996 0x5; 81 rTX 3
2016-06-17_05:43:16 1466134996 0x5; 81 rTX 4
2016-06-17_05:43:16 1466134996 0x5; 81 rTX 5
2016-06-17_05:43:16 1466134996 0x5; 81 rTX 6
2016-06-17_05:43:17 1466134997 0x5; 81 rTX 7
2016-06-17_05:43:19 1466134999 0x5; 81 rTX 8
2016-06-17_05:43:22 1466135002 0x5; 81 rTX 9
2016-06-17_05:43:29 1466135009 0x5; 81 rTX 10
2016-06-17_05:43:44 1466135024 0x5; 81 rTXERR
2016-06-17_05:45:15 1466135115 0x5; 82 rTX 0
2016-06-17_05:45:15 1466135115 0x5; 82 rTX 1
2016-06-17_05:45:15 1466135115 0x5; 82 rTX 2
2016-06-17_05:45:15 1466135115 0x5; 82 rTX 3
2016-06-17_05:45:16 1466135116 0x5; 82 rTX 4
2016-06-17_05:45:16 1466135116 0x5; 82 rTX 5
2016-06-17_05:45:16 1466135116 0x5; 82 rTX 6
2016-06-17_05:45:17 1466135117 0x5; 82 rTX 7
2016-06-17_05:45:18 1466135118 0x5; 82 rTX 8
2016-06-17_05:45:21 1466135121 0x5; 82 rTX 9
2016-06-17_05:45:26 1466135126 0x5; 82 rTX 10
2016-06-17_05:45:42 1466135142 0x5; 82 rTXERR
2016-06-17_05:47:15 1466135235 0x5; 83 rTX 0
2016-06-17_05:47:15 1466135235 0x5; 83 rTX 1
