2016-05-26_05:12:41 1464232361 0x9, A 74 35.43 39.23 0.72
2016-05-26_05:12:53 1464232373 0x9, 8 75 7.71 39.31 11.52
2016-05-26_05:13:21 1464232401 0x9, 2 75 7.55 40.59 11.90
2016-05-26_05:13:24 1464232404 0x9, 5 75 7.23 41.43 12.35
2016-05-26_05:13:25 1464232405 0x9, 6 75 6.15 41.00 13.42
2016-05-26_05:14:41 1464232481 0x9, A 75 39.31 43.67 0.74
2016-05-26_05:14:53 1464232493 0x9, 8 76 7.59 44.24 12.47
2016-05-26_05:15:21 1464232521 0x9, 2 76 7.55 45.63 12.73
2016-05-26_05:15:24 1464232524 0x9, 5 76 7.36 46.72 13.08
2016-05-26_05:15:25 1464232525 0x9, 6 76 6.71 45.79 13.59
2016-05-26_05:16:41 1464232601 0x9, A 76 44.75 50.12 0.80
2016-05-26_05:16:53 1464232613 0x9, 8 77 9.92 50.56 11.53
2016-05-26_05:17:21 1464232641 0x9, 2 77 9.15 51.15 12.18
2016-05-26_05:17:24 1464232644 0x9, 5 77 8.03 52.56 13.29
2016-05-26_05:17:25 1464232645 0x9, 6 77 7.88 52.47 13.42
2016-05-26_05:18:41 1464232721 0x9, A 77 50.52 56.00 0.72
