2016-05-10_03:54:47 1462845287 0x3; 36 rTX 9
2016-05-10_03:54:47 1462845287 0x7; 37 rTX 7
2016-05-10_03:54:48 1462845288 0x8; 37 rTX 6
2016-05-10_03:54:48 1462845288 0x7; 37 rTX 8
2016-05-10_03:54:49 1462845289 0x8; 37 rTX 7
2016-05-10_03:54:50 1462845290 0x8; 37 rTX 8
2016-05-10_03:54:52 1462845292 0x7; 37 rTX 9
2016-05-10_03:54:52 1462845292 0x3; 36 rTX 10
2016-05-10_03:54:53 1462845293 0x8; 37 rTX 9
2016-05-10_03:54:58 1462845298 0x8; 37 rTX 10
2016-05-10_03:54:59 1462845299 0x7; 37 rTX 10
2016-05-10_03:55:04 1462845304 0x3; 36 rTXERR
2016-05-10_03:55:13 1462845313 0x8; 37 rTXERR
2016-05-10_03:55:14 1462845314 0x7; 37 rTXERR
2016-05-10_03:56:42 1462845402 0x3; 37 rTX 0
2016-05-10_03:56:42 1462845402 0x3; 37 rTX 1
2016-05-10_03:56:42 1462845402 0x3; 37 rTX 2
2016-05-10_03:56:42 1462845402 0x3; 37 rTX 3
2016-05-10_03:56:42 1462845402 0x3; 37 rTX 4
2016-05-10_03:56:42 1462845402 0x3; 37 rTX 5
