2016-04-25_03:44:49 1461548689 0x9, A 30 2.24 2.03-0.66
2016-04-25_03:46:23 1461548783 0x9, 1 32 1.72 2.11 1.48
2016-04-25_03:46:24 1461548784 0x9, 2 32 1.64 1.88 0.96
2016-04-25_03:46:27 1461548787 0x9, 5 32 2.20 2.16-0.12
2016-04-25_03:46:28 1461548788 0x9, 6 32 1.44 2.00 2.32
2016-04-25_03:46:48 1461548808 0x9, A 31 1.39 2.31 3.57
2016-04-25_03:48:23 1461548903 0x9, 1 33 2.07 2.48 1.24
2016-04-25_03:48:24 1461548904 0x9, 2 33 1.72 2.52 2.70
2016-04-25_03:48:27 1461548907 0x9, 5 33 2.31 2.31 0.00
2016-04-25_03:48:28 1461548908 0x9, 6 33 2.16 2.00-0.54
2016-04-25_03:48:48 1461548928 0x9, A 32 2.03 1.87-0.57
2016-04-25_03:50:23 1461549023 0x9, 1 34 1.52 2.55 3.69
2016-04-25_03:50:24 1461549024 0x9, 2 34 1.72 2.27 1.99
2016-04-25_03:50:27 1461549027 0x9, 5 34 2.83 2.03-2.34
2016-04-25_03:50:28 1461549028 0x9, 6 34 2.11 2.48 1.11
2016-04-25_03:50:48 1461549048 0x9, A 33 2.00 2.39 1.29
2016-04-25_03:52:23 1461549143 0x9, 1 35 1.60 2.31 2.63
2016-04-25_03:52:24 1461549144 0x9, 2 35 2.03 2.24 0.66
2016-04-25_03:52:27 1461549147 0x9, 5 35 1.72 2.64 3.03
2016-04-25_03:52:28 1461549148 0x9, 6 35 1.79 2.52 2.38
2016-04-25_03:52:48 1461549168 0x9, A 34 1.55 2.79 4.14
2016-04-25_03:54:23 1461549263 0x9, 1 36 1.32 2.44 4.35
2016-04-25_03:54:24 1461549264 0x9, 2 36 1.60 2.20 2.25
2016-04-25_03:54:27 1461549267 0x9, 5 36 1.88 2.40 1.72
2016-04-25_03:54:28 1461549268 0x9, 6 36 2.16 2.76 1.73
2016-04-25_03:54:48 1461549288 0x9, A 35 1.88 2.56 2.18
2016-04-25_03:56:23 1461549383 0x9, 1 37 1.64 2.03 1.54
2016-04-25_03:56:24 1461549384 0x9, 2 37 1.76 2.11 1.31
2016-04-25_03:56:27 1461549387 0x9, 5 37 2.31 2.31 0.00
2016-04-25_03:56:28 1461549388 0x9, 6 37 1.67 2.20 1.90
2016-04-25_03:56:48 1461549408 0x9, A 36 1.79 1.91 0.45
2016-04-25_03:58:23 1461549503 0x9, 1 38 1.20 2.24 4.41
2016-04-25_03:58:24 1461549504 0x9, 2 38 2.00 2.31 1.05
2016-04-25_03:58:27 1461549507 0x9, 5 38 2.03 2.11 0.27
2016-04-25_03:58:28 1461549508 0x9, 6 38 1.48 2.68 4.20
2016-04-25_03:58:48 1461549528 0x9, A 37 2.20 2.23 0.12
2016-04-25_04:00:23 1461549623 0x9, 1 39 2.00 2.40 1.29
2016-04-25_04:00:24 1461549624 0x9, 2 39 1.84 2.52 2.22
2016-04-25_04:00:27 1461549627 0x9, 5 39 2.03 2.31 0.91
2016-04-25_04:00:28 1461549628 0x9, 6 39 1.84 2.24 1.39
2016-04-25_04:00:48 1461549648 0x9, A 38 2.03 2.71 2.03
2016-04-25_04:02:23 1461549743 0x9, 1 40 1.52 2.24 2.74
2016-04-25_04:02:24 1461549744 0x9, 2 40 2.03 1.96-0.28
2016-04-25_04:02:27 1461549747 0x9, 5 40 2.40 2.88 1.29
2016-04-25_04:02:28 1461549748 0x9, 6 40 1.79 2.20 1.42
2016-04-25_04:02:48 1461549768 0x9, A 39 1.52 1.83 1.35
2016-04-25_04:04:23 1461549863 0x9, 1 41 1.60 2.35 2.75
2016-04-25_04:04:24 1461549864 0x9, 2 41 1.84 2.59 2.44
2016-04-25_04:04:27 1461549867 0x9, 5 41 2.11 2.07-0.13
2016-04-25_04:04:28 1461549868 0x9, 6 41 1.67 2.24 2.03
2016-04-25_04:04:48 1461549888 0x9, A 40 1.79 2.35 1.91
2016-04-25_04:06:23 1461549983 0x9, 1 42 1.79 2.27 1.67
2016-04-25_04:06:24 1461549984 0x9, 2 42 1.15 1.72 2.78
2016-04-25_04:06:27 1461549987 0x9, 5 42 2.24 1.91-1.09
2016-04-25_04:06:28 1461549988 0x9, 6 42 2.24 2.27 0.12
2016-04-25_04:06:48 1461550008 0x9, A 41 1.76 2.27 1.83
2016-04-25_04:08:23 1461550103 0x9, 1 43 1.96 2.00 0.14
2016-04-25_04:08:24 1461550104 0x9, 2 43 1.91 2.27 1.21
2016-04-25_04:08:27 1461550107 0x9, 5 43 1.96 2.20 0.81
2016-04-25_04:08:28 1461550108 0x9, 6 43 2.31 2.44 0.35
2016-04-25_04:08:48 1461550128 0x9, A 42 1.96 2.12 0.55
2016-04-25_04:10:23 1461550223 0x9, 1 44 1.96 2.20 0.81
2016-04-25_04:10:24 1461550224 0x9, 2 44 1.72 2.16 1.61
2016-04-25_04:10:27 1461550227 0x9, 5 44 2.24 2.24 0.00
2016-04-25_04:10:28 1461550228 0x9, 6 44 1.52 2.07 2.22
2016-04-25_04:10:48 1461550248 0x9, A 43 2.11 2.23 0.38
2016-04-25_04:12:23 1461550343 0x9, 1 45 1.15 2.20 4.53
2016-04-25_04:12:24 1461550344 0x9, 2 45 1.39 2.07 2.80
2016-04-25_04:12:27 1461550347 0x9, 5 45 2.20 2.40 0.61
2016-04-25_04:12:28 1461550348 0x9, 6 45 1.64 2.24 2.20
2016-04-25_04:12:48 1461550368 0x9, A 44 1.52 2.19 2.61
2016-04-25_04:14:23 1461550463 0x9, 1 46 1.60 2.31 2.63
2016-04-25_04:14:24 1461550464 0x9, 2 46 1.48 1.76 1.22
2016-04-25_04:14:27 1461550467 0x9, 5 46 2.11 2.35 0.75
2016-04-25_04:14:28 1461550468 0x9, 6 46 1.76 2.31 1.95
2016-04-25_04:14:48 1461550488 0x9, A 45 2.40 2.12-0.87
2016-04-25_04:16:23 1461550583 0x9, 1 47 2.07 2.44 1.13
2016-04-25_04:16:24 1461550584 0x9, 2 47 1.36 2.11 3.14
2016-04-25_04:16:27 1461550587 0x9, 5 47 2.27 2.35 0.24
2016-04-25_04:16:28 1461550588 0x9, 6 47 1.72 2.59 2.92
2016-04-25_04:16:48 1461550608 0x9, A 46 2.24 2.35 0.36
2016-04-25_04:18:23 1461550703 0x9, 1 48 1.55 2.03 1.89
2016-04-25_04:18:24 1461550704 0x9, 2 48 1.52 2.59 3.80
2016-04-25_04:18:27 1461550707 0x9, 5 48 2.07 2.24 0.52
2016-04-25_04:18:28 1461550708 0x9, 6 48 1.79 2.48 2.26
2016-04-25_04:18:48 1461550728 0x9, A 47 1.55 2.35 2.93
2016-04-25_04:20:23 1461550823 0x9, 1 49 1.55 2.35 2.93
2016-04-25_04:20:24 1461550824 0x9, 2 49 1.44 2.24 3.12
2016-04-25_04:20:27 1461550827 0x9, 5 49 1.60 2.11 1.99
2016-04-25_04:20:28 1461550828 0x9, 6 49 1.96 2.52 1.77
2016-04-25_04:20:48 1461550848 0x9, A 48 1.76 2.15 1.45
2016-04-25_04:22:23 1461550943 0x9, 1 50 1.72 2.35 2.24
2016-04-25_04:22:24 1461550944 0x9, 2 50 1.48 2.11 2.54
2016-04-25_04:22:27 1461550947 0x9, 5 50 2.07 2.48 1.24
2016-04-25_04:22:28 1461550948 0x9, 6 50 2.16 2.44 0.86
2016-04-25_04:22:48 1461550968 0x9, A 49 1.88 2.15 0.98
2016-04-25_04:24:23 1461551063 0x9, 1 51 1.55 1.91 1.47
2016-04-25_04:24:24 1461551064 0x9, 2 51 1.64 2.31 2.45
2016-04-25_04:24:27 1461551067 0x9, 5 51 1.91 2.52 1.92
2016-04-25_04:24:28 1461551068 0x9, 6 51 2.07 2.00-0.27
2016-04-25_04:24:48 1461551088 0x9, A 50 2.03 2.35 1.03
2016-04-25_04:26:23 1461551183 0x9, 1 52 1.96 2.20 0.81
2016-04-25_04:26:24 1461551184 0x9, 2 52 1.24 2.27 4.31
2016-04-25_04:26:27 1461551187 0x9, 5 52 2.40 2.24-0.48
2016-04-25_04:26:28 1461551188 0x9, 6 52 2.11 2.31 0.63
2016-04-25_04:26:48 1461551208 0x9, A 51 1.64 2.19 2.08
2016-04-25_04:28:23 1461551303 0x9, 1 53 2.48 2.11-1.11
2016-04-25_04:28:24 1461551304 0x9, 2 53 2.11 2.16 0.13
2016-04-25_04:28:27 1461551307 0x9, 5 53 2.24 2.48 0.72
2016-04-25_04:28:28 1461551308 0x9, 6 53 1.84 1.91 0.30
2016-04-25_04:28:48 1461551328 0x9, A 52 1.32 2.03 3.08
2016-04-25_04:30:23 1461551423 0x9, 1 54 1.72 2.07 1.34
2016-04-25_04:30:24 1461551424 0x9, 2 54 1.39 2.00 2.52
