2016-05-04_14:02:59 1462363379 0x7; 337 rTX 9
2016-05-04_14:02:59 1462363379 0x8; 337 rTX 9
2016-05-04_14:03:03 1462363383 0x3; 337 rTX 10
2016-05-04_14:03:05 1462363385 0x7; 337 rTX 10
2016-05-04_14:03:06 1462363386 0x8; 337 rTX 10
2016-05-04_14:03:18 1462363398 0x8; 337 rTXERR
2016-05-04_14:03:18 1462363398 0x7; 337 rTXERR
2016-05-04_14:03:19 1462363399 0x3; 337 rTXERR
2016-05-04_14:04:49 1462363489 0x3; 338 rTX 0
2016-05-04_14:04:49 1462363489 0x3; 338 rTX 1
2016-05-04_14:04:49 1462363489 0x3; 338 rTX 2
2016-05-04_14:04:49 1462363489 0x3; 338 rTX 3
2016-05-04_14:04:49 1462363489 0x3; 338 rTX 4
2016-05-04_14:04:49 1462363489 0x3; 338 rTX 5
2016-05-04_14:04:50 1462363490 0x3; 338 rTX 6
2016-05-04_14:04:50 1462363490 0x3; 338 rTX 7
2016-05-04_14:04:52 1462363492 0x3; 338 rTX 8
2016-05-04_14:04:53 1462363493 0x7; 338 rTX 0
2016-05-04_14:04:53 1462363493 0x7; 338 rTX 1
2016-05-04_14:04:53 1462363493 0x7; 338 rTX 2
2016-05-04_14:04:53 1462363493 0x7; 338 rTX 3
2016-05-04_14:04:53 1462363493 0x7; 338 rTX 4
2016-05-04_14:04:53 1462363493 0x7; 338 rTX 5
2016-05-04_14:04:54 1462363494 0x7; 338 rTX 6
2016-05-04_14:04:54 1462363494 0x8; 338 rTX 0
2016-05-04_14:04:54 1462363494 0x8; 338 rTX 1
2016-05-04_14:04:54 1462363494 0x8; 338 rTX 2
2016-05-04_14:04:54 1462363494 0x8; 338 rTX 3
2016-05-04_14:04:54 1462363494 0x8; 338 rTX 4
2016-05-04_14:04:54 1462363494 0x8; 338 rTX 5
2016-05-04_14:04:55 1462363495 0x8; 338 rTX 6
2016-05-04_14:04:55 1462363495 0x7; 338 rTX 7
2016-05-04_14:04:55 1462363495 0x8; 338 rTX 7
2016-05-04_14:04:56 1462363496 0x3; 338 rTX 9
2016-05-04_14:04:56 1462363496 0x7; 338 rTX 8
2016-05-04_14:04:57 1462363497 0x8; 338 rTX 8
2016-05-04_14:04:59 1462363499 0x7; 338 rTX 9
2016-05-04_14:05:00 1462363500 0x8; 338 rTX 9
2016-05-04_14:05:02 1462363502 0x3; 338 rTX 10
2016-05-04_14:05:05 1462363505 0x8; 338 rTX 10
2016-05-04_14:05:06 1462363506 0x7; 338 rTX 10
2016-05-04_14:05:15 1462363515 0x8; 338 rTXERR
2016-05-04_14:05:15 1462363515 0x7; 338 rTXERR
2016-05-04_14:05:17 1462363517 0x3; 338 rTXERR
2016-05-04_14:06:49 1462363609 0x3; 339 rTX 0
2016-05-04_14:06:49 1462363609 0x3; 339 rTX 1
2016-05-04_14:06:49 1462363609 0x3; 339 rTX 2
2016-05-04_14:06:49 1462363609 0x3; 339 rTX 3
2016-05-04_14:06:49 1462363609 0x3; 339 rTX 4
2016-05-04_14:06:49 1462363609 0x3; 339 rTX 5
2016-05-04_14:06:49 1462363609 0x3; 339 rTX 6
2016-05-04_14:06:50 1462363610 0x3; 339 rTX 7
2016-05-04_14:06:52 1462363612 0x3; 339 rTX 8
2016-05-04_14:06:53 1462363613 0x7; 339 rTX 0
2016-05-04_14:06:53 1462363613 0x7; 339 rTX 1
2016-05-04_14:06:53 1462363613 0x7; 339 rTX 2
2016-05-04_14:06:53 1462363613 0x7; 339 rTX 3
2016-05-04_14:06:53 1462363613 0x7; 339 rTX 4
2016-05-04_14:06:53 1462363613 0x7; 339 rTX 5
2016-05-04_14:06:54 1462363614 0x7; 339 rTX 6
2016-05-04_14:06:54 1462363614 0x8; 339 rTX 0
2016-05-04_14:06:54 1462363614 0x8; 339 rTX 1
2016-05-04_14:06:54 1462363614 0x8; 339 rTX 2
2016-05-04_14:06:54 1462363614 0x8; 339 rTX 3
2016-05-04_14:06:54 1462363614 0x8; 339 rTX 4
2016-05-04_14:06:54 1462363614 0x8; 339 rTX 5
2016-05-04_14:06:54 1462363614 0x7; 339 rTX 7
2016-05-04_14:06:55 1462363615 0x8; 339 rTX 6
2016-05-04_14:06:55 1462363615 0x3; 339 rTX 9
2016-05-04_14:06:56 1462363616 0x8; 339 rTX 7
2016-05-04_14:06:56 1462363616 0x7; 339 rTX 8
2016-05-04_14:06:57 1462363617 0x8; 339 rTX 8
2016-05-04_14:06:59 1462363619 0x7; 339 rTX 9
2016-05-04_14:06:59 1462363619 0x3; 339 rTX 10
2016-05-04_14:07:00 1462363620 0x8; 339 rTX 9
2016-05-04_14:07:04 1462363624 0x8; 339 rTX 10
2016-05-04_14:07:07 1462363627 0x7; 339 rTX 10
2016-05-04_14:07:09 1462363629 0x3; 339 rTXERR
