2016-04-24_07:26:14 1461475574 0x2 283;3aa,3a3,3b4,3be,3bc,3ac,397,f/6a;0:0/0;0:0/0;0:0/0;1:e7/0x2; 284 rTX 9
2016-04-24_07:28:14 1461475694 0x2 284;3c5,3c8,3c9,3cf,3cb,3cb,3cf,f/6c;0:0/0;0:0/0;0:0/0;1:e7/0x2; 285 rTX 9
2016-04-24_07:30:14 1461475814 0x2 285;3ff,401,401,3ff,401,400,400,f/6b;0:0/0;0:0/0;0:0/0;1:e5/0x2; 286 rTX 9
2016-04-24_07:43:12 1461476592 0x2 291;b,bb,c2,bb,bb,ba,bb,bb,bb,bfe6/6c;0:ed/6b;0:0/0;0:0/0;0:0x2; 292 rTX 9
2016-04-24_07:45:13 1461476713 0x2 292;0,c2,c5,c0,c0,bc,bf,c1,c0,bae3/6c;0:ee/6c;0:0/0;0:0/0;0:0x2; 293 rTX 9
2016-04-24_07:56:13 1461477373 0x2 0; BOOT
2016-04-24_08:53:13 1461480793 0x2 0; BOOT
2016-04-24_10:53:12 1461487992 0x2 2;462,45f,45a,45e,461,461,45b,0x2; 3 rTX 9
2016-04-24_14:54:13 1461502453 0x2 0; BOOT
2016-04-24_15:13:13 1461503593 0x2 0; BOOT
