2016-04-24_09:39:11 1461483551 0x6 351;3b8,3b7,3b7,3b7,3b6,3b5,3b7,3b7,3b4,3b7,3b6,3b5,3b6,3b6,3b5,3b6,3b7,3b6,3b8,3b9,3b5,3b6,3b5,3b5,3b6-16df,494-0:f3/6c;0:f0/6b;0:0/0;0:0/0;0:2/6b;0:0/0;0:0/0;0:0/0;0:d6/67;0:0/0
2016-04-24_09:43:11 1461483791 0x6 353;3ed,3dd,3d2,3f5,3f2,404,3fb,3f0,3ee,3e9,3e2,3e4,3f7,3f3,3db,3d8,3cf,400,3f2,3e1,3ec,3ed,3ee,3da,3c5-1723,490-0:f3/6a;0:f0/6c;0:0/0;0:0/0;0:2/6c;0:0/0;0:0/0;0:0/0;0:d8/68;0:0/0
2016-04-24_09:47:12 1461484032 0x6 355;454,455,451,454,457,457,454,454,453,454,455,452,454,455,454,456,455,454,456,455,456,454,458,457,455-179e,489-0:f3/6b;0:f0/6c;0:0/0;0:0/0;0:2/6c;0:0/0;0:0/0;0:0/0;0:d8/6a;0:0/0
2016-04-24_09:50:12 1461484212 0x6 0; BOOT
2016-04-24_09:52:12 1461484332 0x6 0;49f,4a0,4a0,49e,4a0,49e,49e,49c,498,49d,49c,49b,499,49a,49a,49b,494,494,497,496,495,496,492,48f,497-18a0,494-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_09:56:12 1461484572 0x6 360;4a3,4a4,4a8,4a6,4a1,4a4,4a6,4a4,4a3,4a4,4a6,4a4,4a4,4a3,4a6,4a4,4a3,4a3,4a0,4a4,4a2,4a2,4a2,4a2,4a2-19e8,445-0:f1/6b;0:f0/6c;0:0/0;0:0/0;0:1/6b;0:0/0;0:0/0;0:0/0;0:d7/67;0:0/0
2016-04-24_09:58:12 1461484692 0x6 361;264,263,263,266,267,26b,26c,26b,266,265,26a,268,266,263,265,269,269,264,266,263,266,26c,268,261,262-1a2b,409-0:f1/6c;0:ef/6b;0:0/0;0:0/0;0:1/6a;0:0/0;0:0/0;0:0/0;0:d7/6a;0:0/0
2016-04-24_10:00:13 1461484813 0x6 362;239,237,23c,236,23b,238,235,22f,23c,23e,23a,234,232,236,237,238,237,238,244,23d,238,234,235,238,23a-1979,414-0:f1/6c;0:ef/6c;0:0/0;0:0/0;0:20x6; 363 rTX 2
2016-04-24_10:02:12 1461484932 0x6 363;277,279,278,279,277,279,279,279,275,279,279,279,279,279,1/6b;0:f0/6b;0:0/0;0:0/0;0:20x6; 364 rTX 2
2016-04-24_10:04:12 1461485052 0x6 364;280,27f,280,281,280,27f,27e,280,27e,27d,27e,27f,282,281,282,281,280,27b,281,282,27f,27c,27f,281,281-184e,452-0:f2/6c;0:f0/6b;0:0/0;0:0/0;0:2/6b;0:0/0;0:0/0;0:0/0;0:d9/6a;0:0/0
2016-04-24_10:06:12 1461485172 0x6 365;2e9,2eb,2ea,2ea,2ea,2ea,2ea,2eb,2e9,2ec,2eb,2eb,2ea,2eb,2ea,2e8,2ea,2ec,2f3,2ed,2e7,2ed,2eb,2e9,2ee-17f0,46b-0:f3/6c;0:ef/6c;0:0/0;0:0/0;0:2/6c;0:0/0;0:0/0;0:0/0;0:da/6a;0:0/0
2016-04-24_10:09:12 1461485352 0x6 0; BOOT
2016-04-24_10:17:12 1461485832 0x6 370;49b,49b,49b,49c,49d,49b,49c,49c,49c,4a1,49b,49c,496,499,49b,49c,49c,49f,49a,49c,49e,49b,49b,49c,497-19d9,465-1:f1/6b;0:ef/6c;0:0/0;0:0/0;0:1/6c;0:0/0;0:0/0;0:0/0;0:d9/6a;0:0/0
2016-04-24_10:19:12 1461485952 0x6 371;485,486,485,487,485,485,485,488,485,486,485,488,485,484,488,47f,485,481,487,48a,485,486,485,488,485-1a5d,442-1:f1/6c;0:ef/6c;0:0/0;0:0/0;0:0/6c;0:0/0;0:0/0;0:0/0;0:d9/68;0:0/0
2016-04-24_10:21:11 1461486071 0x6 372;48b,48a,489,48b,488,48a,48a,48b,48b,48b,48b,48a,48d,48b,48a,487,488,48b,48b,48d,48a,488,489,48a,48b-1ab1,426-1:f1/6b;0:ef/6c;0:0/0;0:0/0;0:1/6b;0:0/0;0:0/0;0:0/0;0:d9/66;0:0/0
