2016-06-05_07:34:43 1465104883 0xB, 9 134 1135.59 831.15-2.20
2016-06-05_07:36:21 1465104981 0xB, A 133 842.20 839.36-0.02
2016-06-05_07:36:43 1465105003 0xB, 9 135 1138.71 841.96-2.13
2016-06-05_07:38:20 1465105101 0xB, A 134 879.64 848.47-0.25
2016-06-05_07:38:43 1465105123 0xB, 9 136 1142.19 850.00-2.09
2016-06-05_07:40:20 1465105220 0xB, A 135 892.55 860.79-0.25
2016-06-05_07:40:43 1465105243 0xB, 9 137 1144.92 862.15-2.00
2016-06-05_07:42:21 1465105341 0xB, A 136 899.76 868.15-0.25
2016-06-05_07:42:43 1465105363 0xB, 9 138 1144.35 874.03-1.90
2016-06-05_07:44:21 1465105461 0xB, A 137 908.71 878.31-0.24
2016-06-05_07:44:43 1465105483 0xB, 9 139 1143.56 878.20-1.86
2016-06-05_07:46:21 1465105581 0xB, A 138 926.32 889.47-0.28
2016-06-05_07:46:43 1465105603 0xB, 9 140 1140.19 898.52-1.68
2016-06-05_07:48:20 1465105700 0xB, A 139 1019.15 994.92-0.17
2016-06-05_07:48:43 1465105723 0xB, 9 141 1140.59 1011.11-0.85
2016-06-05_07:50:21 1465105821 0xB, A 140 1102.28 1096.00-0.04
2016-06-05_07:50:43 1465105843 0xB, 9 142 1140.88 1106.04-0.21
2016-06-05_07:52:20 1465105940 0xB, A 141 1153.76 1128.22-0.15
2016-06-05_07:52:43 1465105963 0xB, 9 143 1139.07 1126.80-0.07
2016-06-05_07:54:20 1465106060 0xB, A 142 1148.47 1120.28-0.17
2016-06-05_07:54:43 1465106083 0xB, 9 144 1139.16 1118.59-0.12
2016-06-05_07:56:20 1465106180 0xB, A 143 1142.52 1112.15-0.19
2016-06-05_07:56:43 1465106203 0xB, 9 145 1140.92 1111.16-0.18
2016-06-05_07:58:20 1465106300 0xB, A 144 1139.95 1105.09-0.21
2016-06-05_07:58:43 1465106323 0xB, 9 146 1140.35 1104.07-0.22
2016-06-05_08:00:20 1465106420 0xB, A 145 1137.68 1102.06-0.22
2016-06-05_08:00:43 1465106443 0xB, 9 147 1140.68 1101.16-0.24
2016-06-05_08:02:20 1465106540 0xB, A 146 1137.35 1100.31-0.23
2016-06-05_08:02:43 1465106563 0xB, 9 148 1143.19 1099.95-0.27
2016-06-05_08:30:43 1465108243 0xB, 9 162 1153.43 1101.19-0.32
2016-06-05_08:32:20 1465108340 0xB, A 161 1135.28 1104.28-0.19
2016-06-05_08:32:43 1465108363 0xB, 9 163 1155.23 1105.40-0.31
2016-06-05_08:34:20 1465108460 0xB, A 162 1138.56 1107.94-0.19
2016-06-05_08:34:43 1465108483 0xB, 9 164 1156.71 1108.71-0.30
2016-06-05_08:36:20 1465108580 0xB, A 163 1140.35 1111.22-0.18
2016-06-05_08:36:43 1465108603 0xB, 9 165 1158.59 1111.16-0.29
2016-06-05_08:38:20 1465108700 0xB, A 164 1141.23 1111.72-0.18
2016-06-05_08:38:43 1465108723 0xB, 9 166 1160.52 1112.11-0.30
2016-06-05_08:40:20 1465108820 0xB, A 165 1141.43 1112.37-0.18
