2016-05-04_02:46:04 1462322764 0x2; 78 rTX 2
2016-05-04_02:48:03 1462322883 0x1; 79 rTX 0
2016-05-04_02:48:03 1462322883 0x1; 79 rTX 1
2016-05-04_02:48:03 1462322883 0x1; 79 rTX 2
2016-05-04_02:48:03 1462322883 0x1; 79 rTX 3
2016-05-04_02:48:06 1462322886 0x5; 79 rTX 0
2016-05-04_02:48:07 1462322887 0x5; 79 rTX 1
2016-05-04_02:48:07 1462322887 0x5; 79 rTX 2
2016-05-04_02:48:07 1462322887 0x5; 79 rTX 3
2016-05-04_02:48:08 1462322888 0x6; 79 rTX 0
2016-05-04_02:48:08 1462322888 0x6; 79 rTX 1
2016-05-04_02:48:08 1462322888 0x6; 79 rTX 2
2016-05-04_02:52:06 1462323126 0x5; 81 rTX 0
2016-05-04_02:54:03 1462323243 0x1; 82 rTX 0
2016-05-04_02:54:03 1462323243 0x1; 82 rTX 1
2016-05-04_02:54:03 1462323243 0x1; 82 rTX 2
2016-05-04_02:56:02 1462323362 0x1; 83 rTX 0
2016-05-04_02:56:02 1462323362 0x1; 83 rTX 1
2016-05-04_02:56:02 1462323362 0x1; 83 rTX 2
2016-05-04_02:56:03 1462323363 0x2; 83 rTX 0
2016-05-04_02:56:04 1462323364 0x2; 83 rTX 1
2016-05-04_02:56:04 1462323364 0x2; 83 rTX 2
2016-05-04_02:56:04 1462323364 0x2; 83 rTX 3
2016-05-04_02:58:03 1462323483 0x2; 84 rTX 0
2016-05-04_03:00:03 1462323603 0x1; 85 rTX 0
2016-05-04_03:00:03 1462323603 0x1; 85 rTX 1
2016-05-04_03:00:03 1462323603 0x1; 85 rTX 2
2016-05-04_03:00:07 1462323607 0x5; 85 rTX 0
2016-05-04_03:00:08 1462323608 0x6; 85 rTX 0
2016-05-04_03:02:02 1462323722 0x1; 86 rTX 0
2016-05-04_03:02:02 1462323722 0x1; 86 rTX 1
2016-05-04_03:02:02 1462323722 0x1; 86 rTX 2
2016-05-04_03:02:03 1462323723 0x1; 86 rTX 3
2016-05-04_03:02:07 1462323727 0x5; 86 rTX 0
2016-05-04_03:04:07 1462323847 0x5; 87 rTX 0
2016-05-04_03:08:03 1462324083 0x1; 89 rTX 0
2016-05-04_03:08:03 1462324083 0x1; 89 rTX 1
2016-05-04_03:08:03 1462324083 0x1; 89 rTX 2
2016-05-04_03:08:03 1462324083 0x1; 89 rTX 3
2016-05-04_03:10:04 1462324204 0x2; 90 rTX 0
2016-05-04_03:10:04 1462324204 0x2; 90 rTX 1
2016-05-04_03:10:04 1462324204 0x2; 90 rTX 2
2016-05-04_03:12:03 1462324323 0x1; 91 rTX 0
2016-05-04_03:12:03 1462324323 0x1; 91 rTX 1
2016-05-04_03:12:03 1462324323 0x1; 91 rTX 2
2016-05-04_03:12:03 1462324323 0x1; 91 rTX 3
2016-05-04_03:12:07 1462324327 0x5; 91 rTX 0
2016-05-04_03:12:07 1462324327 0x5; 91 rTX 1
2016-05-04_03:12:07 1462324327 0x5; 91 rTX 2
2016-05-04_03:12:07 1462324327 0x5; 91 rTX 3
2016-05-04_03:12:08 1462324328 0x6; 91 rTX 0
2016-05-04_03:12:08 1462324328 0x6; 91 rTX 1
2016-05-04_03:14:07 1462324447 0x5; 92 rTX 0
2016-05-04_03:16:07 1462324567 0x5; 93 rTX 0
2016-05-04_03:18:02 1462324682 0x1; 94 rTX 0
2016-05-04_03:20:03 1462324803 0x1; 95 rTX 0
2016-05-04_03:20:04 1462324804 0x2; 95 rTX 0
2016-05-04_03:20:04 1462324804 0x2; 95 rTX 1
2016-05-04_03:20:04 1462324804 0x2; 95 rTX 2
2016-05-04_03:20:04 1462324804 0x2; 95 rTX 3
2016-05-04_03:22:03 1462324923 0x2; 96 rTX 0
2016-05-04_03:22:08 1462324928 0x6; 96 rTX 0
2016-05-04_03:22:08 1462324928 0x6; 96 rTX 1
2016-05-04_03:22:08 1462324928 0x6; 96 rTX 2
2016-05-04_03:22:08 1462324928 0x6; 96 rTX 3
2016-05-04_03:24:08 1462325048 0x6; 97 rTX 0
2016-05-04_03:24:08 1462325048 0x6; 97 rTX 1
2016-05-04_03:24:08 1462325048 0x6; 97 rTX 2
2016-05-04_03:24:08 1462325048 0x6; 97 rTX 3
