2016-05-08_05:51:03 1462679463 0xB, A 93 106.04 96.71-0.65
2016-05-08_05:51:36 1462679496 0xB, 9 95 123.83 99.04-1.58
2016-05-08_05:53:03 1462679583 0xB, A 94 116.16 106.51-0.61
2016-05-08_05:53:36 1462679616 0xB, 9 96 136.88 108.72-1.63
2016-05-08_05:55:03 1462679703 0xB, A 95 126.83 116.47-0.60
2016-05-08_05:55:36 1462679736 0xB, 9 97 151.00 119.00-1.68
2016-05-08_05:57:04 1462679824 0xB, A 96 138.32 126.24-0.64
2016-05-08_05:57:36 1462679856 0xB, 9 98 166.75 129.24-1.80
2016-05-08_05:59:03 1462679943 0xB, A 97 150.03 137.07-0.63
2016-05-08_05:59:36 1462679976 0xB, 9 99 182.27 140.19-1.85
2016-05-08_06:01:03 1462680063 0xB, A 98 162.16 148.03-0.64
2016-05-08_06:01:36 1462680096 0xB, 9 100 199.63 150.67-1.99
2016-05-08_06:03:04 1462680184 0xB, A 99 174.03 158.55-0.65
2016-05-08_06:03:36 1462680216 0xB, 9 101 219.60 162.27-2.14
2016-05-08_06:05:03 1462680303 0xB, A 100 186.47 170.00-0.65
2016-05-08_06:05:36 1462680336 0xB, 9 102 239.91 172.80-2.32
2016-05-08_06:07:03 1462680423 0xB, A 101 198.67 181.11-0.65
2016-05-08_06:07:36 1462680456 0xB, 9 103 260.72 183.80-2.47
2016-05-08_06:09:03 1462680543 0xB, A 102 211.63 192.51-0.67
2016-05-08_06:09:36 1462680576 0xB, 9 104 283.51 195.63-2.62
2016-05-08_06:11:03 1462680663 0xB, A 103 223.63 203.91-0.65
2016-05-08_06:11:36 1462680696 0xB, 9 105 308.07 206.88-2.81
2016-05-08_06:13:03 1462680783 0xB, A 104 236.11 215.07-0.66
2016-05-08_06:13:36 1462680816 0xB, 9 106 333.39 218.63-2.98
2016-05-08_06:15:03 1462680903 0xB, A 105 248.91 226.87-0.65
2016-05-08_06:15:36 1462680936 0xB, 9 107 359.51 230.24-3.15
2016-05-08_06:17:04 1462681024 0xB, A 106 261.76 238.87-0.64
2016-05-08_06:17:36 1462681056 0xB, 9 108 388.11 241.11-3.37
2016-05-08_06:19:03 1462681143 0xB, A 107 275.20 250.11-0.67
2016-05-08_06:19:36 1462681176 0xB, 9 109 416.04 253.24-3.51
2016-05-08_06:21:03 1462681263 0xB, A 108 287.55 261.75-0.66
2016-05-08_06:21:36 1462681296 0xB, 9 110 445.92 264.76-3.69
2016-05-08_06:23:04 1462681384 0xB, A 109 300.83 273.23-0.68
2016-05-08_06:23:36 1462681416 0xB, 9 111 476.11 276.11-3.85
2016-05-08_06:25:03 1462681503 0xB, A 110 312.95 284.68-0.67
2016-05-08_06:25:36 1462681536 0xB, 9 112 506.44 287.35-4.01
2016-05-08_06:27:03 1462681623 0xB, A 111 325.51 296.07-0.67
2016-05-08_06:27:36 1462681656 0xB, 9 113 538.67 298.95-4.16
2016-05-08_06:29:03 1462681743 0xB, A 112 338.11 307.00-0.68
2016-05-08_06:29:36 1462681776 0xB, 9 114 572.64 309.92-4.34
2016-05-08_06:31:03 1462681863 0xB, A 113 350.76 318.91-0.67
2016-05-08_06:31:36 1462681896 0xB, 9 115 606.59 321.60-4.49
2016-05-08_06:33:04 1462681984 0xB, A 114 363.07 329.32-0.69
2016-05-08_06:33:36 1462682016 0xB, 9 116 638.35 332.79-4.61
2016-05-08_06:35:03 1462682103 0xB, A 115 375.92 341.11-0.68
2016-05-08_06:35:36 1462682136 0xB, 9 117 672.40 344.07-4.74
2016-05-08_06:37:03 1462682223 0xB, A 116 388.55 352.55-0.68
2016-05-08_06:37:36 1462682256 0xB, 9 118 709.64 355.32-4.89
