2016-05-06_14:14:37 1462536877 0x5; 355 rTX 2
2016-05-06_14:14:37 1462536877 0x5; 355 rTX 3
2016-05-06_14:14:37 1462536877 0x5; 355 rTX 4
2016-05-06_14:14:37 1462536877 0x5; 355 rTX 5
2016-05-06_14:14:38 1462536878 0x5; 355 rTX 6
2016-05-06_14:14:38 1462536878 0x5; 355 rTX 7
2016-05-06_14:14:40 1462536880 0x5; 355 rTX 8
2016-05-06_14:14:42 1462536882 0x5; 355 rTX 9
2016-05-06_14:14:46 1462536886 0x5; 355 rTX 10
2016-05-06_14:15:01 1462536901 0x5; 355 rTXERR
2016-05-06_14:16:37 1462536997 0x5; 356 rTX 0
2016-05-06_14:16:37 1462536997 0x5; 356 rTX 1
2016-05-06_14:16:37 1462536997 0x5; 356 rTX 2
2016-05-06_14:16:37 1462536997 0x5; 356 rTX 3
2016-05-06_14:16:37 1462536997 0x5; 356 rTX 4
2016-05-06_14:16:37 1462536997 0x5; 356 rTX 5
2016-05-06_14:16:38 1462536998 0x5; 356 rTX 6
2016-05-06_14:16:38 1462536998 0x5; 356 rTX 7
2016-05-06_14:16:40 1462537000 0x5; 356 rTX 8
2016-05-06_14:16:42 1462537002 0x5; 356 rTX 9
2016-05-06_14:16:49 1462537009 0x5; 356 rTX 10
2016-05-06_14:16:59 1462537019 0x5; 356 rTXERR
2016-05-06_14:18:37 1462537117 0x5; 357 rTX 0
2016-05-06_14:18:37 1462537117 0x5; 357 rTX 1
2016-05-06_14:18:37 1462537117 0x5; 357 rTX 2
2016-05-06_14:18:37 1462537117 0x5; 357 rTX 3
2016-05-06_14:18:37 1462537117 0x5; 357 rTX 4
2016-05-06_14:18:37 1462537117 0x5; 357 rTX 5
2016-05-06_14:18:38 1462537118 0x5; 357 rTX 6
2016-05-06_14:18:38 1462537118 0x5; 357 rTX 7
2016-05-06_14:18:39 1462537119 0x5; 357 rTX 8
2016-05-06_14:18:43 1462537123 0x5; 357 rTX 9
2016-05-06_14:18:49 1462537129 0x5; 357 rTX 10
2016-05-06_14:18:57 1462537137 0x5; 357 rTXERR
2016-05-06_14:20:37 1462537237 0x5; 358 rTX 0
2016-05-06_14:20:37 1462537237 0x5; 358 rTX 1
2016-05-06_14:20:37 1462537237 0x5; 358 rTX 2
2016-05-06_14:20:37 1462537237 0x5; 358 rTX 3
2016-05-06_14:20:37 1462537237 0x5; 358 rTX 4
2016-05-06_14:20:37 1462537237 0x5; 358 rTX 5
2016-05-06_14:20:38 1462537238 0x5; 358 rTX 6
2016-05-06_14:20:38 1462537238 0x5; 358 rTX 7
2016-05-06_14:20:40 1462537240 0x5; 358 rTX 8
2016-05-06_14:20:44 1462537244 0x5; 358 rTX 9
2016-05-06_14:20:48 1462537248 0x5; 358 rTX 10
2016-05-06_14:22:37 1462537357 0x5; 359 rTX 0
2016-05-06_14:22:37 1462537357 0x5; 359 rTX 1
2016-05-06_14:22:37 1462537357 0x5; 359 rTX 2
2016-05-06_14:22:37 1462537357 0x5; 359 rTX 3
2016-05-06_14:22:37 1462537357 0x5; 359 rTX 4
2016-05-06_14:22:37 1462537357 0x5; 359 rTX 5
2016-05-06_14:22:38 1462537358 0x5; 359 rTX 6
2016-05-06_14:24:37 1462537477 0x5; 360 rTX 0
2016-05-06_14:24:37 1462537477 0x5; 360 rTX 1
2016-05-06_14:24:37 1462537477 0x5; 360 rTX 2
2016-05-06_14:24:37 1462537477 0x5; 360 rTX 3
2016-05-06_14:24:37 1462537477 0x5; 360 rTX 4
2016-05-06_14:24:37 1462537477 0x5; 360 rTX 5
2016-05-06_14:24:38 1462537478 0x5; 360 rTX 6
2016-05-06_14:24:38 1462537478 0x5; 360 rTX 7
2016-05-06_14:24:39 1462537479 0x5; 360 rTX 8
2016-05-06_14:24:42 1462537482 0x5; 360 rTX 9
2016-05-06_14:24:49 1462537489 0x5; 360 rTX 10
2016-05-06_14:25:04 1462537504 0x5; 360 rTXERR
2016-05-06_14:26:37 1462537597 0x5; 361 rTX 0
2016-05-06_14:26:37 1462537597 0x5; 361 rTX 1
2016-05-06_14:26:37 1462537597 0x5; 361 rTX 2
2016-05-06_14:26:37 1462537597 0x5; 361 rTX 3
2016-05-06_14:26:37 1462537597 0x5; 361 rTX 4
2016-05-06_14:26:37 1462537597 0x5; 361 rTX 5
2016-05-06_14:26:38 1462537598 0x5; 361 rTX 6
2016-05-06_14:26:38 1462537598 0x5; 361 rTX 7
2016-05-06_14:26:40 1462537600 0x5; 361 rTX 8
2016-05-06_14:26:42 1462537602 0x5; 361 rTX 9
2016-05-06_14:26:50 1462537610 0x5; 361 rTX 10
2016-05-06_14:27:00 1462537620 0x5; 361 rTXERR
2016-05-06_14:28:37 1462537717 0x5; 362 rTX 0
2016-05-06_14:28:37 1462537717 0x5; 362 rTX 1
2016-05-06_14:28:37 1462537717 0x5; 362 rTX 2
2016-05-06_14:28:37 1462537717 0x5; 362 rTX 3
2016-05-06_14:28:37 1462537717 0x5; 362 rTX 4
2016-05-06_14:28:37 1462537717 0x5; 362 rTX 5
