2016-04-13_21:48:51 1460576931 0x9 105;2,3,2,5,1,0,1,2,2,1,2,0,0,2,2,2,2,3,2,0,2,2,3,1,2-1540,a3b-0:db/6a;0:df/6b;0:0/0;0:0/0;0:d7/6b;0:de/6c;0:0/0;0:0/0;0:0/0;0:dc/6a
2016-04-13_21:50:51 1460577051 0x9 106;1,3,2,1,3,5,3,2,0,1,2,2,2,2,6,3,5,2,2,0,2,2,2,1,2-1540,a3b-0:db/69;0:df/6a;0:0/0;0:0/0;0:d9/68;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_21:52:51 1460577171 0x9 107;1,1,2,1,2,1,2,2,2,2,2,3,1,0,3,2,5,2,2,2,2,2,0,2,2-153e,a3a-0:da/6a;0:df/6a;0:0/0;0:0/0;0:d8/6b;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/69
2016-04-13_21:54:51 1460577291 0x9 108;2,3,3,3,3,1,3,2,2,2,3,6,3,1,3,2,2,2,1,1,2,1,3,2,2-153a,a39-0:da/6b;0:df/6b;0:0/0;0:0/0;0:d8/6a;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_21:56:51 1460577411 0x9 109;2,4,2,1,5,1,0,2,0,2,2,2,3,2,3,0,3,0,1,1,2,2,4,3,2-1536,a39-0:db/6b;0:df/6b;0:0/0;0:0/0;0:d9/66;0:df/6b;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_21:58:51 1460577531 0x9 110;1,4,1,2,2,5,3,2,0,2,3,3,2,2,6,2,2,2,5,2,4,2,3,3,0-1532,a37-0:da/6c;0:df/6b;0:0/0;0:0/0;0:d8/69;0:de/6a;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_22:00:51 1460577651 0x9 111;0,3,2,3,2,6,5,5,2,1,4,6,0,2,3,2,1,6,3,4,3,2,1,2,4-152e,a36-0:db/67;0:df/6b;0:0/0;0:0/0;0:d9/6b;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/68
2016-04-13_22:02:51 1460577771 0x9 112;0,2,3,2,1,0,2,2,2,2,0,2,4,2,0,3,3,2,2,0,5,2,3,2,1-152a,a36-0:db/6a;0:df/6a;0:0/0;0:0/0;0:d9/6b;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_22:04:51 1460577891 0x9 113;2,5,3,2,3,2,2,2,5,3,2,0,2,2,1,3,2,9,1,0,2,2,2,3,2-1526,a37-0:dc/6b;0:df/6c;0:0/0;0:0/0;0:d9/6b;0:de/6a;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_22:06:51 1460578011 0x9 114;2,3,3,2,2,1,2,3,5,6,2,0,3,3,2,1,3,3,2,9,2,4,3,2,2-1526,a37-0:db/6b;0:df/6b;0:0/0;0:0/0;0:d8/6a;0:df/6b;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_22:08:51 1460578131 0x9 115;2,0,2,3,2,3,2,2,2,3,9,2,0,4,5,2,0,0,0,0,0,0,0,2,0-1525,a38-0:da/6b;0:df/6c;0:0/0;0:0/0;0:d8/6a;0:de/69;0:0/0;0:0/0;0:0/0;0:da/68
2016-04-13_22:10:51 1460578251 0x9 116;3,2,2,1,1,3,2,2,1,1,1,3,0,2,2,2,5,0,3,3,2,0,3,3,2-1521,a38-0:db/6a;0:df/6c;0:0/0;0:0/0;0:d9/6b;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_22:12:51 1460578371 0x9 117;7,1,7,0,2,0,2,2,3,2,2,2,3,0,1,2,2,1,3,8,0,2,3,3,2-151e,a37-0:db/69;0:df/6b;0:0/0;0:0/0;0:d9/6a;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/68
