2016-04-23_04:13:56 1461377636 0x9, 1 46 1.91 2.03 0.42
2016-04-23_04:13:57 1461377637 0x9, 2 46 1.72 2.03 1.20
2016-04-23_04:14:00 1461377640 0x9, 5 46 1.79 1.76-0.15
2016-04-23_04:14:02 1461377642 0x9, 6 46 1.39 2.52 4.16
2016-04-23_04:14:58 1461377698 0x9, A 45 2.03 1.72-1.20
2016-04-23_04:15:56 1461377756 0x9, 1 47 1.96 2.20 0.81
2016-04-23_04:15:57 1461377757 0x9, 2 47 1.91 2.03 0.42
2016-04-23_04:16:00 1461377760 0x9, 5 47 2.00 2.27 0.92
2016-04-23_04:16:58 1461377818 0x9, A 46 1.88 1.83-0.15
2016-04-23_04:17:56 1461377876 0x9, 1 48 1.67 2.11 1.64
2016-04-23_04:17:57 1461377877 0x9, 2 48 1.88 1.84-0.15
2016-04-23_04:18:00 1461377880 0x9, 5 48 2.03 2.55 1.60
2016-04-23_04:18:58 1461377938 0x9, A 47 2.55 2.91 0.93
2016-04-23_04:19:57 1461377997 0x9, 1 49 1.44 2.35 3.49
2016-04-23_04:19:57 1461377997 0x9, 2 49 1.32 1.88 2.50
2016-04-23_04:20:00 1461378000 0x9, 5 49 2.07 2.03-0.13
2016-04-23_04:20:02 1461378002 0x9, 6 49 1.79 2.11 1.15
2016-04-23_04:20:58 1461378058 0x9, A 48 1.88 2.71 2.61
2016-04-23_04:22:58 1461378178 0x9, A 49 1.44 1.91 2.03
2016-04-23_04:24:58 1461378298 0x9, A 50 1.91 1.95 0.14
2016-04-23_04:26:17 1461378377 0x9, 1 52 1.72 2.52 2.70
2016-04-23_04:26:18 1461378378 0x9, 2 52 1.67 2.07 1.51
2016-04-23_04:26:21 1461378381 0x9, 5 52 1.88 1.79-0.30
2016-04-23_04:26:22 1461378382 0x9, 6 52 2.03 1.84-0.73
2016-04-23_04:26:58 1461378418 0x9, A 51 1.91 2.83 2.77
2016-04-23_04:28:17 1461378497 0x9, 1 53 1.76 1.60-0.67
2016-04-23_04:28:18 1461378498 0x9, 2 53 1.39 2.00 2.52
2016-04-23_04:28:21 1461378501 0x9, 5 53 1.79 1.96 0.60
2016-04-23_04:28:22 1461378502 0x9, 6 53 1.48 2.11 2.54
2016-04-23_04:28:58 1461378538 0x9, A 52 1.55 2.03 1.89
2016-04-23_04:30:17 1461378617 0x9, 1 54 1.52 1.96 1.80
2016-04-23_04:30:18 1461378618 0x9, 2 54 1.39 2.24 3.32
2016-04-23_04:30:21 1461378621 0x9, 5 54 2.00 2.16 0.54
2016-04-23_04:30:22 1461378622 0x9, 6 54 2.07 2.48 1.24
2016-04-23_04:30:58 1461378658 0x9, A 53 1.91 3.07 3.34
2016-04-23_04:32:17 1461378737 0x9, 1 55 1.72 2.24 1.87
2016-04-23_04:32:18 1461378738 0x9, 2 55 1.44 2.20 3.00
2016-04-23_04:32:21 1461378741 0x9, 5 55 2.07 2.11 0.13
