13 Apr 23:55:51 ntpdate[2384]: no server suitable for synchronization found
10 May 05:00:09 ntpdate[7670]: adjust time server 192.168.1.1 offset -0.006606 sec
10 May 05:05:09 ntpdate[7843]: adjust time server 192.168.1.1 offset 0.015489 sec
10 May 05:10:08 ntpdate[8017]: adjust time server 192.168.1.1 offset -0.039320 sec
10 May 05:15:08 ntpdate[8199]: adjust time server 192.168.1.1 offset -0.005393 sec
10 May 05:20:09 ntpdate[8401]: adjust time server 192.168.1.1 offset -0.007644 sec
10 May 05:25:09 ntpdate[8574]: adjust time server 192.168.1.1 offset -0.003954 sec
10 May 05:30:09 ntpdate[8755]: adjust time server 192.168.1.1 offset -0.016527 sec
10 May 05:35:09 ntpdate[8929]: adjust time server 192.168.1.1 offset -0.004655 sec
10 May 05:40:09 ntpdate[9121]: adjust time server 192.168.1.1 offset -0.004760 sec
10 May 05:45:08 ntpdate[9305]: adjust time server 192.168.1.1 offset -0.001665 sec
10 May 05:50:09 ntpdate[9478]: adjust time server 192.168.1.1 offset 0.352325 sec
10 May 05:55:11 ntpdate[9652]: no server suitable for synchronization found
10 May 06:00:08 ntpdate[9852]: adjust time server 192.168.1.1 offset -0.344871 sec
10 May 06:05:09 ntpdate[10026]: adjust time server 192.168.1.1 offset -0.218233 sec
10 May 06:10:09 ntpdate[10198]: adjust time server 192.168.1.1 offset -0.073288 sec
10 May 06:15:09 ntpdate[10380]: adjust time server 192.168.1.1 offset 0.025397 sec
10 May 06:20:08 ntpdate[10585]: adjust time server 192.168.1.1 offset -0.031263 sec
10 May 06:25:10 ntpdate[10775]: adjust time server 192.168.1.1 offset 0.004365 sec
10 May 06:30:09 ntpdate[11036]: adjust time server 192.168.1.1 offset -0.012097 sec
10 May 06:35:08 ntpdate[11209]: adjust time server 192.168.1.1 offset -0.003693 sec
10 May 06:40:08 ntpdate[11401]: adjust time server 192.168.1.1 offset -0.004860 sec
10 May 06:45:09 ntpdate[11583]: adjust time server 192.168.1.1 offset -0.005743 sec
10 May 06:50:09 ntpdate[11757]: adjust time server 192.168.1.1 offset -0.008469 sec
10 May 06:55:09 ntpdate[11930]: adjust time server 192.168.1.1 offset -0.021093 sec
10 May 07:00:09 ntpdate[12130]: adjust time server 192.168.1.1 offset -0.028153 sec
10 May 07:05:09 ntpdate[12303]: adjust time server 192.168.1.1 offset 0.019226 sec
10 May 07:10:09 ntpdate[12475]: adjust time server 192.168.1.1 offset 0.013932 sec
10 May 07:15:09 ntpdate[12657]: adjust time server 192.168.1.1 offset -0.073139 sec
10 May 07:20:08 ntpdate[12859]: adjust time server 192.168.1.1 offset 0.009376 sec
10 May 07:25:08 ntpdate[13032]: adjust time server 192.168.1.1 offset -0.005927 sec
10 May 07:30:08 ntpdate[13215]: adjust time server 192.168.1.1 offset -0.013838 sec
10 May 07:35:09 ntpdate[13388]: adjust time server 192.168.1.1 offset 0.022969 sec
10 May 07:40:09 ntpdate[13665]: adjust time server 192.168.1.1 offset -0.039880 sec
10 May 07:45:09 ntpdate[13847]: adjust time server 192.168.1.1 offset -0.012427 sec
10 May 07:50:08 ntpdate[14021]: adjust time server 192.168.1.1 offset -0.009979 sec
10 May 07:55:08 ntpdate[14194]: adjust time server 192.168.1.1 offset -0.009819 sec
10 May 08:04:30 ntpdate[2595]: step time server 192.168.1.1 offset 20.662249 sec
10 May 08:05:09 ntpdate[2653]: adjust time server 192.168.1.1 offset -0.013185 sec
10 May 08:10:09 ntpdate[2827]: adjust time server 192.168.1.1 offset -0.017570 sec
10 May 08:15:09 ntpdate[3001]: adjust time server 192.168.1.1 offset -0.011549 sec
10 May 08:20:09 ntpdate[3210]: adjust time server 192.168.1.1 offset 0.000149 sec
10 May 08:25:08 ntpdate[3385]: adjust time server 192.168.1.1 offset -0.014619 sec
10 May 08:30:09 ntpdate[3558]: adjust time server 192.168.1.1 offset -0.013235 sec
10 May 08:35:09 ntpdate[3740]: adjust time server 192.168.1.1 offset -0.011388 sec
10 May 08:40:08 ntpdate[3932]: adjust time server 192.168.1.1 offset -0.009972 sec
10 May 08:45:09 ntpdate[4105]: adjust time server 192.168.1.1 offset 0.044236 sec
10 May 08:50:09 ntpdate[4287]: adjust time server 192.168.1.1 offset -0.090326 sec
10 May 08:55:09 ntpdate[4460]: adjust time server 192.168.1.1 offset 0.019114 sec
10 May 09:00:09 ntpdate[4652]: adjust time server 192.168.1.1 offset -0.028505 sec
10 May 09:05:09 ntpdate[4836]: adjust time server 192.168.1.1 offset -0.003066 sec
10 May 09:10:08 ntpdate[5009]: adjust time server 192.168.1.1 offset 0.122737 sec
10 May 09:15:11 ntpdate[5183]: no server suitable for synchronization found
10 May 09:20:11 ntpdate[5394]: no server suitable for synchronization found
10 May 09:25:11 ntpdate[5566]: no server suitable for synchronization found
10 May 09:30:11 ntpdate[5740]: no server suitable for synchronization found
10 May 09:35:11 ntpdate[5922]: no server suitable for synchronization found
10 May 09:40:11 ntpdate[6114]: no server suitable for synchronization found
10 May 09:45:11 ntpdate[6287]: no server suitable for synchronization found
10 May 09:50:11 ntpdate[6469]: no server suitable for synchronization found
10 May 09:55:11 ntpdate[6643]: no server suitable for synchronization found
10 May 10:00:11 ntpdate[6834]: no server suitable for synchronization found
10 May 10:05:11 ntpdate[7016]: no server suitable for synchronization found
10 May 10:10:11 ntpdate[7190]: no server suitable for synchronization found
10 May 10:15:08 ntpdate[7363]: step time server 192.168.1.1 offset -0.647593 sec
10 May 10:20:09 ntpdate[7573]: adjust time server 192.168.1.1 offset -0.014073 sec
10 May 10:25:09 ntpdate[7747]: adjust time server 192.168.1.1 offset -0.006708 sec
10 May 10:30:09 ntpdate[7921]: adjust time server 192.168.1.1 offset -0.010703 sec
10 May 10:35:09 ntpdate[8103]: adjust time server 192.168.1.1 offset -0.008902 sec
10 May 10:40:09 ntpdate[8356]: adjust time server 192.168.1.1 offset 0.029285 sec
10 May 10:45:09 ntpdate[8529]: adjust time server 192.168.1.1 offset -0.000493 sec
10 May 10:50:11 ntpdate[8711]: no server suitable for synchronization found
10 May 10:55:11 ntpdate[8884]: no server suitable for synchronization found
10 May 11:00:11 ntpdate[9162]: no server suitable for synchronization found
10 May 11:05:11 ntpdate[9344]: no server suitable for synchronization found
10 May 11:10:11 ntpdate[9518]: no server suitable for synchronization found
10 May 11:15:11 ntpdate[9691]: no server suitable for synchronization found
10 May 11:20:11 ntpdate[9989]: no server suitable for synchronization found
10 May 11:25:11 ntpdate[10163]: no server suitable for synchronization found
10 May 11:30:10 ntpdate[10336]: no server suitable for synchronization found
10 May 11:35:11 ntpdate[10518]: no server suitable for synchronization found
10 May 11:44:11 ntpdate[2596]: no server suitable for synchronization found
10 May 11:49:11 ntpdate[2769]: no server suitable for synchronization found
10 May 11:54:11 ntpdate[2942]: no server suitable for synchronization found
10 May 11:59:11 ntpdate[3142]: no server suitable for synchronization found
