2016-05-24_04:31:32 1464057092 0x1 54;3,1,3,1,2,0,2,2,1,2,2,0,2,2,2,2,2,b,2,2,0,2,2,b,0-16c8,a13-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/6c;1:ef/68;0:0/0;0:0/0;0:d4/59;0:0/0
2016-05-24_04:33:32 1464057212 0x1 55;4,2,9,0,1,2,0,9,1,2,1,2,2,0,2,1,2,1,2,2,2,1,2,8,2-16c5,a11-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/6c;1:ef/68;0:0/0;0:0/0;0:d3/58;0:0/0
2016-05-24_04:35:32 1464057332 0x1 56;0,2,1,0,1,2,1,1,0,2,2,2,0,0,1,0,1,2,2,2,2,2,2,2,1-16c1,a0d-0:0/0;1:0/6a;0:0/0;0:0/0;1:ee/69;1:ed/68;0:0/0;0:0/0;1:d3/58;0:0/0
2016-05-24_04:37:32 1464057452 0x1 57;2,2,2,1,0,1,0,2,1,2,1,2,2,2,1,2,2,2,b,2,2,0,2,1,1-16c0,a0f-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6b;1:f0/69;0:0/0;0:0/0;2:d3/58;0:0/0
2016-05-24_04:39:32 1464057572 0x1 58;3,2,2,1,2,2,2,1,1,0,1,1,1,2,2,2,0,2,0,0,2,1,2,2,1-16c0,a10-0:0/0;1:0/6c;0:0/0;0:0/0;1:ee/6c;1:ef/6b;0:0/0;0:0/0;0:d2/55;0:0/0
2016-05-24_04:41:32 1464057692 0x1 59;2,2,2,7,2,2,2,2,2,0,0,1,1,2,1,2,1,1,2,0,2,1,2,0,0-16c3,a13-0:0/0;1:0/6c;0:0/0;0:0/0;1:ee/6c;1:f1/6b;0:0/0;0:0/0;0:d3/48;0:0/0
2016-05-24_04:43:32 1464057812 0x1 60;2,1,2,1,2,2,3,0,1,9,2,2,1,1,2,0,3,2,0,0,2,2,a,b,0-16c2,a10-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6b;1:f1/6b;0:0/0;0:0/0;0:d4/59;0:0/0
2016-05-24_04:45:32 1464057932 0x1 61;2,2,2,2,2,2,1,1,0,0,1,2,2,1,2,1,1,0,2,1,2,2,2,2,1-16c2,a0e-0:0/0;1:0/6b;0:0/0;0:0/0;1:ef/6b;1:f1/6a;0:0/0;0:0/0;1:d4/59;0:0/0
2016-05-24_04:47:32 1464058052 0x1 62;2,1,2,2,0,2,2,5,1,3,2,2,2,2,2,2,2,2,3,0,2,2,1,2,2-16c2,a0f-0:0/0;1:0/6c;0:0/0;0:0/0;1:ee/6b;1:ef/6a;0:0/0;0:0/0;0:d1/46;0:0/0
2016-05-24_04:49:32 1464058172 0x1 63;1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1,3,3,2,2,2,2-16be,a07-0:0/0;1:0/6b;0:0/0;0:0/0;1:ef/6a;1:f1/69;0:0/0;0:0/0;0:d2/4c;0:0/0
2016-05-24_04:51:32 1464058292 0x1 64;3,2,0,1,1,2,1,1,2,1,1,1,2,2,2,1,2,3,2,2,2,2,1,2,2-16ba,a07-0:0/0;1:0/6a;0:0/0;0:0/0;1:ed/6c;1:f1/6b;0:0/0;0:0/0;0:d3/53;0:0/0
2016-05-24_04:53:32 1464058412 0x1 65;2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,0,2,2,1,2,2,2,2-16b4,a07-0:0/0;1:0/6b;0:0/0;0:0/0;1:ef/6a;1:ef/6a;0:0/0;0:0/0;1:d3/53;0:0/0
2016-05-24_04:55:32 1464058532 0x1 66;2,0,1,2,2,2,2,1,1,2,0,3,2,1,1,2,2,8,2,2,2,0,2,2,2-16b2,a09-0:0/0;1:0/6c;0:0/0;0:0/0;1:ed/6b;1:ef/67;0:0/0;0:0/0;2:d3/53;0:0/0
